,index,cyrillic_backwards,transcription_backwards,cyrillic,transcription,derived_cyrillic,derived_transcription,form_cyrillic,form_transcription,часть речи,grammar,type,type_alternation,definition,example_cyrillic,example_transcription,example_definition,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
5597,5597,эввултҏҏ̄эс,evvult̥r̥rees,сэ̄ҏҏтлуввэ,seer̥r̥tluvve,сэ̄ҏҏтэ,seer̥r̥te,,,Verb,страд.,1.0,,страд. к сэ̄ҏҏтэ,,"to ž'e, čto seer̥r̥tje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,5599,еътҏҏ̄эс,ejt̥r̥rees,сэ̄ҏҏтъе,seer̥r̥tje,сэ̄ҏҏтэ,seer̥r̥te,,,Verb,страд.,3.0,,страд. к сэ̄ҏҏтэ,,strad. k seer̥r̥te,,пима сэ̄ҏҏтъенҍ,p'ima seer̥r̥tjen',пимы стали сырыми,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5601,5601,эстҏ̄эс,est̥rees,сэ̄ҏтсэ,seer̥tse,сэ̄ҏҏтэ,seer̥r̥te,,,Verb,,3.0,,"то же, что сэ̄ўўтлэ",,"to ž'e, čto seeўўtle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,5607,эхфэс,exfes,сэфхэ,sefxe,сэффэ,seffe,,,Verb,понуд.,3.0,,понуд. к сэффэ,,ponud. k seffe,,сэфэһтҍ пӯдзэтҍ!,sefeht puuʒet!,погоняй оленей!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5608,5608,эдэфэс,edefes,сэфэдэ,sefede,сэффэ,seffe,,,Verb,,3.0,1*,"мчаться, нестись",,"to ž'e, čto seffe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5618,5618,эввухвй̄яс,evvuxvjaa's,ся̄йвхуввэ,s'aajvxuvve,ся̄ййвэ,s'aajjve,,,Verb,страд.,1.0,,страд. к ся̄ййвэ,,strad. k s'aajjve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5640,5640,эввухтп̄яс,evvuxtpaa's,ся̄птхуввэ,s'aaptxuvve,се̄ппьт,s'eep'p't,,,Verb,,1.0,,"утомиться, наживляя что",страд. к ся̄пптэ,strad. k s'aappte,,пугк продольнэгкь ся̄птхуввенҍ,pugk prodol'negk' s'aaptxuv'v'en',все продольники наживлены,мыйй та̄рьм ся̄птхувэмь,mɨjj taar'm s'aaptxuvem',"мы сегодня утомились, наживляя продольники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641,5641,эхтп̄яс,extpaa's,ся̄птхэ,s'aaptxe,се̄ппьт,s'eep'p't,,,Verb,понуд.,3.0,,понуд. к ся̄пптэ,,ponud. k s'aappte,,ся̄птэһтҍ со̄ннӭ вӯӈкэтҍ,s'aapteht soon'n'e vuuŋket,дай ему наживить крючки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5669,5669,ьлеват,'le'vat,тавель,tav'el',таввял,tav'v'al,,,Noun,общее число,5.0,,север,,"to ž'e, čto tav'v'al",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5678,5678,эсг̄ат,esgaat,та̄гсэ,taagse,та̄гкэ,taagge,,,Verb,"быстро, немного, однокр.",3.0,,"однокр. ударить чем по чему (быстро);однокр. ударить во что (быстро);побить кого (немного), избить кого (быстро);пробить (вдруг, неожиданно - о часах)",,"to ž'e, čto taagkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,5679,эввухг̄ат,evvuxgaat,та̄гхуввэ,taagxuvve,та̄гкэ,taagge,,,Verb,страд.,1.0,,"страд, к та̄гкэ",,"strad, k taagke","1,3- 6",сӯлл пе̄ннэ та̄гхувэ,suull p'eenne taagxuve,вороватую собаку побили,ылльтэ сге̄нне та̄гхувэ,ɨl'l'te sg'eeɲ'ɲ'e taagxuve,полка к стене прибита,рӯц та̄гхуввенҍ,ruuc taagxuv'v'en',врага разбили,на̄ввьл та̄гхувэ,naav'v'l taagxuve,гвоздь забит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,5715,эхврат,exvrat,тарвхэ,tarvxe,таррьв,tar'r'v,,,Verb,понуд.,3.0,,понуд. к таррвэ,,ponud. k tarrve,,бэдт вэ̄ннас тарвхэ,bedt veennas tarvxe,"нужно, чтобы лодку смолили",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,5725,яъмьрр̄ат,ajm'r'raat,та̄ррьмъя,taar'r'mja,та̄рьм,taar'm,,,Adj,,,,сегодняшний,,"to ž'e, čto taar'r'mjenč",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5726,5726,эввухвьрат,evvuxv'rat,тарьвхуввэ,tar'vxuvve,таррьв,tar'r'v,,,Verb,,1.0,,испачкаться смолой,"страд, к таррвэ","strad, k tarrve",,вэнс тарьвхувэ,vens tar'vxuve,лодку просмолили,мунн тарьвхувве,munn tar'vxuv'v'e,я испачкался смолой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5727,5727,эсҋьр̄ат,es̥j'raat,та̄рьҋсэ,taar'j̥se,та̄ррье,taar'r'je,,,Verb,недолго,3.0,,потерпеть что (недолго);потерпеть кого-что (недолго);смириться с чем,,to ž'e. čto taar'r'jle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,5728,эхйьр̄ат,exj'raat,та̄рьйхэ,taar'jxe,та̄ррье,taar'r'je,,,Verb,понуд.,3.0,,понуд. к та̄ррье,,ponud. k taar'r'je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5732,5732,эввухчҏат,evvuxč̥rat,таҏчхуввэ,tar̥čxuvve,таҏҏче,tar̥r̥če,,,Verb,страд.,1.0,,страд. к таҏҏче,,strad. k tar̥r̥če,,са̄вьн пла̄тьясьт таҏчхуввенҍ,saav'n plaat'jas't tar̥čxuv'v'en',швы на платье лопнули,со̄нн та̄рьм таҏчхувэ,soonn taar'm tar̥čxuve,его сегодня избили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5736,5736,еътсс̄ат,ejtssaat,та̄сстъе,taasstje,та̄ссьт,taas's't,,,Verb,появиться,3.0,,появиться - о звёздах,,"to ž'e, čto taas's'tluvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5752,5752,эввуткһ̄ат,evvutkhaat,та̄һктуввэ,taahktuvve,та̄һк,taahk,,,Verb,,1.0,,наточиться,"страд, к та̄һктэ","strad, k taahkte",,ныйп шӣгктэнне та̄һктуввенҍ,nɨjp š'iigkteɲ'ɲ'e taahktuv'v'en',ножи хорошо наточились,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5767,5767,рэзивелет,rezi've'le't,телевизэр,t'el'ev'izer,телевизэр,t'el'ev'izer,,,Noun,общее число,5.0,,телевизор,,t'el'ev'izor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5771,5771,еълл̄ет,ejllee't,те̄ллъе,t'eellje,тя̄ллэ,t'aalle,,,Verb,страд.,3.0,,страд. к тя̄ллэ,,strad. k t'aalle,,тӯлльй те̄ллэй,tuullij t'eellej,шкура выделана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775,5775,эсл̄ет,eslee't,те̄лсэ,t'eelse,тя̄ллэ,t'aalle,,,Verb,страд.,3.0,,страд. к тя̄ллэ,,"to ž'e, čto t'eellje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5787,5787,еърр̄ет,ejrree't,те̄рръе,t'eerrje,те̄ррэ,t'eerre,,,Verb,страд.,3.0,,"страд, к те̄ррэ",,"strad, k t'eerre",,чуэз э̄ххьтэ те̄ррэй,čuez eex'x'te t'eerrej,стадо собрано,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5796,5796,эввухпҏ̄ет,evvuxp̥ree't,те̄ҏпхуввэ,t'eer̥pxuvve,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,страд.,1.0,,"страд, к те̄ҏҏпэ",,"strad, k t'eer̥r̥pe",,кэллм кӯлль пугк те̄ҏпхувэ куськэ-куськэ,kellm kuul'l' pugk t'eer̥pxuve kus'ke-kus'ke,мороженая рыба вся порублена на куски,мунн те̄ҏпхувве,munn t'eer̥pxuv'v'e,я поранил себя (топором),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5797,5797,эхпҏ̄ет,exp̥ree't,те̄ҏпхэ,t'eer̥pxe,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,понуд.,3.0,,понуд. к те̄ҏҏпэ,,ponud. k t'eer̥r̥pe,,бэдт мӯрэтҍ те̄ҏпхэ,bedt muuret t'eer̥pxe,"нужно, чтобы дрова порубили",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,5798,ечпҏ̄ет,ečp̥ree't,те̄ҏпче,t'eer̥pče,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,"постоянно; иногда, бывало",3.0,,"рубить, разрубать что (топором - постоянно;иногда, бывало)",,"to ž'e, čto t'eer̥pne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,5801,еъпҏҏ̄ет,ejp̥r̥ree't,те̄ҏҏпъе,t'eer̥r̥pje,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,страд.,3.0,,"страд, к те̄ҏҏпэ",,"to ž'e, čto t'eer̥pxuvve",,тӯрк те̄ҏҏпъенҍ,tuurk t'eer̥r̥pjen',ветки порублены,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5802,5802,эввюъпҏҏ̄ет,evvujp̥r̥ree't,те̄ҏҏпъюввэ,t'eer̥r̥pjuvve,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,страд.,1.0,,"страд, к те̄ҏҏпэ",,"to ž'e, čto t'eer̥pxuvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5812,5812,энвултввӣт,envultvvii't,тӣввтлувнэ,t'iivvtluvne,тӣввт,t'iivvt,,,Verb,"постоянно;иногда, бывало",3.0,,"перен. толстеть, полнеть (постоянно;иногда, бывало)",то же.что тӣвтнэ,to ž'e.čto t'iivtne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5818,5818,эввюътввӣт,evvujtvvii't,тӣввтъюввэ,t'iivvtjuvve,тӣввт,t'iivvt,,,Verb,стать,1.0,,стать в достаточном количестве,,"to ž'e, čto t'iivvtje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5827,5827,эствӣт,estvii't,тӣвтсэ,t'iivtse,тӣввт,t'iivvt,,,Verb,,3.0,,"то же, что тӣввттэ",,"to ž'e, čto t'iivvtte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5828,5828,эхтвӣт,extvii't,тӣвтхэ,t'iivtxe,тӣввт,t'iivvt,,,Verb,обеспечить,3.0,,"обеспечить, снабдить кого-что чем","то же, что тӣввтътэ","to ž'e, čto t'iivvtte",,бэдт пла̄нэтҍ тӣвтхэ,bedt plaanet t'iivtxe,планы нужно выполнить,бригада бэдт тӣвтхэ та̄лльв оассэгуэйм,br'igada bedt t'iivtxe taal'l'v oasseguejm,бригаду нужно снабдить зимней одеждой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,5830,ечтвӣт,ečtvii't,тӣвтче,t'iivtče,тӣввт,t'iivvt,,,Verb,"постоянно;иногда, бывало",3.0,,"наполняться, заполняться кем-чем (постоянно;иногда, бывало);выполняться (постоянно иногда, бывало);безл. хватать чего (постоянно; иногда, бывало)",,"to ž'e, čto t'iivtne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5831,5831,эввухвӣт,evvuxvii't,тӣвхуввэ,t'iivxuvve,тӣввэ,t'iivve,,,Verb,страд.,1.0,,"страд, к тӣввэ",,"strad, k t'iivve",,мунн тӣвхувве,munn t'iivxuv'v'e,меня проведали,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832,5832,эхвӣт,exvii't,тӣвхэ,t'iivxe,тӣввэ,t'iivve,,,Verb,понуд.,3.0,,понуд. к тӣввэ,,ponud. k t'iivve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5845,5845,эсжӣт,esžii't,тӣжсэ,t'iižse,тӣшш,t'iišš,,,Verb,"недолго, немного",3.0,,"почудить (немного, недолго)",,"to ž'e, čto t'iiššle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5858,5858,эхтӣт,extii't,тӣтхэ,t'iitxe,тӣһт,t'iiht,,,Verb,понуд.,3.0,,понуд. к тӣһтэ,,ponud. k t'iihte,,бэдт оасскэтҍ тӣтхэ,bedt oassket t'iitxe,нужно сделать метки на белье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,5859,ечтӣт,ečtii't,тӣтче,t'iitče,тӣһт,t'iiht,,,Verb,"постоянно;иногда, бывало",3.0,,"таврить кого, обозначать, помечать, отмечать что (постоянно;иногда, бывало)",,"to ž'e, čto t'iitne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5863,5863,еътһӣт,ejthii't,тӣһтъе,t'iihtje,тӣһт,t'iiht,,,Verb,страд.,3.0,,"страд, к тӣһтэ",,"strad, k t'iihte",,вӯзь пугк тӣһтъенҍ,vuuz' pugk t'iihtjen',все оленята затаврены,чуэкас тӣһтэй,čuekas t'iihtej,дорога обозначена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5872,5872,еъпбаот,ejbbaot,тоабпъе,toabbje,та̄бпэ,taabbe,,,Verb,страд.,3.0,,страд. к та̄бпэ,,strad. k taabpe,,пугк кнӣга тоабпъенҍ,pugk kɲ'iiga toabpjen',все книги раскупили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,5874,эввулсаваот,evvulsavaot,тоаваслуввэ,toavasluvve,тоавас,toavas,,,Verb,стать,1.0,,"стать сильным, мощным",,"to ž'e, čto toavasme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5892,5892,ечгаот,ečgaot,тоагче,toagče,та̄гкэ,taagge,,,Verb,"постоянно;иногда, бывало",3.0,,"бить, ударять чем, по чему (постоянно;иногда, бывало);бить, ударять во что (постоянно;иногда, бывало);прибивать что (постоянно;иногда, бывало);бить, избивать кого (постоянно иногда, бывало);разбивать, поражать кого (постоянно; иногда, бывало);бить (о часах - постоянно; иногда, бывало)",,"to ž'e, čto toagne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5901,5901,эдййаот,edjjaot,тоаййдэ,toajjde,та̄йе,taaje,,,Verb,,1.0,,"бредить;вести себя безрассудно;понимать, осознавать что, приходить в сознание (о больном);соображать, понимать что",,"to ž'e, čto taaje",,тоаййдэ не̄льк,toajjde ɲ'eel'k,чувствовать голод; со̄нн эйй тоайедҍ чӯдзьмуж он не чувствует боли; па̄рнэнч злькэ тоаййдэ пырр ӣжесь ребёнок начал осознавать окружающее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5902,5902,эввултййаот,evvultjjaot,тоаййтлуввэ,toajjtluvve,тоаййтэ,toajjte,,,Verb,быстро,1.0,,"вымыть (мясо, рыбу - быстро);выполоскать (бельё - быстро)","страд, к тоаййтэ","strad, k toajjte",,оассэ нюэзельт тоаййтлуввенҍ,oasse ɲ'uez'el't toajjtluv'v'en',бельё плохо выполоскалось тоаййтлэ III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,5906,эстйаот,estjaot,тоайтсэ,toajtse,тоаййтэ,toajjte,,,Verb,,3.0,,"то же, что тоаййтлэ",,"to ž'e, čto toajjtle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5911,5911,эввюьчммаот,evvujčmmaot,тоаммчьюввэ,toammčjuvve,та̄ммче,taammče,,,Verb,страд.,1.0,,страд. к та̄ммче,,"to ž'e, čto toammčje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920,5920,эввухкьҏаот,evvuxk'̥raot,тоаҏькхуввэ,toar̥'kxuvve,тоаҏҏьк,toar̥'r̥'k,,,Verb,страд.,1.0,,"страд, к то̄ҏҏькэ",,"strad, k toor̥'r̥'ke",,е̄мьперь тоаҏькхувэ,jeem'p'er' toar̥'kxuve,ведро испоганили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5927,5927,йакьссаот,jak's'saot,тоасськай,toas's'kaj,тоасськ,toas's'k,,,AdjPred,сказ.,,,"сказ. непрерывно грустящий, тоскующий",,"skaz. to ž'e, čto toaskeč",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5931,5931,эввюътһаот,evvujthaot,тоаһтъюввэ,toahtjuvve,та̄һтэ,taahte,,,Verb,,1.0,,"то же, что тоаћтъе",,to ž'e. čto toahtje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5933,5933,еътйй̄от,ejtjjoot,то̄ййтъе,toojjtje,тоаййтэ,toajjte,,,Verb,быстро,3.0,,"вымыть (мясо, рыбу - быстро);выполоскать (бельё - быстро)",,"to ž'e, čto toajjtluvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5935,5935,эввюътйй̄от,evvujtjjoot,то̄ййтъюввэ,toojjtjuvve,тоаййтэ,toajjte,,,Verb,быстро,1.0,,"вымыть (мясо, рыбу - быстро);выполоскать (бельё - быстро)",,"to ž'e, čto toajjtluvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5953,5953,ӭтһяъкьӆӆ̄от,e'thajk'̥l'̥loot,то̄ӆӆькъяһтӭ,tool̥'l̥'kjaht'e,то̄ӆӆк,tool̥l̥k,,,Verb,,1.0,4*,вразумить кого,понуд. к то̄ӆӆькъе,ponud. k tool̥'l̥'kje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5957,5957,эхцӆ̄от,exc̥loot,то̄ӆцхэ,tool̥cxe,то̄ӆӆцэ,tool̥l̥ce,,,Verb,понуд.,3.0,,понуд. к то̄ӆӆцэ,,ponud. k tool̥l̥ce,: то̄ӆцеһтҍ парнҍне мӯрьетҍ разомни для ребёнка ягоды,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5965,5965,эстмот,estmot,томтсэ,tomtse,томмтэ,tommte,,,Verb,быстро,3.0,,"узнать, опознать кого-что (быстро, сразу)",,"to ž'e, čto tommtle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5974,5974,еъцпп̄от,ejcppoot,то̄ппцъе,tooppcje,то̄ппцэ,tooppce,,,Verb,страд.,3.0,,"страд, к то̄ппцэ",,"strad, k tooppce",,шалльт то̄ппцей,šal'l't tooppc'ej,весь пол затоптан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5982,5982,еъмрр̄от,ejmrroot,то̄ррмъе,toorrmje,тоаррмэ,toarrme,,,Verb,страд.,3.0,,"страд, к тоаррмэ",,"to ž'e, čto toarmxuvve",,пла̄тья то̄ррмэй,plaat'ja toorrmej,платье прищло в негодность,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5994,5994,элкччырт,elkččɨrt,трыччклэ,trɨččkle,трыччкэ,trɨččke,,,Verb,"вдруг, однокр.",3.0,,однокр. брызнуть;закапать (вдруг - напр. о дожде),"то же, что трычксэ","to ž'e, čto trɨčkse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,6004,чэраут,čeraut,туарэч,tuareč,туарр,tuarr,,,AdjPred,сказ.,,,"сказ. драчливый, драчлив",,"to ž'e, čto tuarraj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,6006,еъпбут,ejbbut,тубпъе,tubbje,тубпэ,tubbe,,,Verb,страд.,3.0,,"страд, к тубпэ",,"strad, k tubpe",,шышшенҍ тубпэй,šɨš'š'en' tubpej,кожа выдублена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
